,Process Id,Process Name,Memory used by W3SVC
0,0,System Idle Process,8192
1,4,System,10137600
2,124,Registry,106008576
3,656,smss.exe,1245184
4,824,csrss.exe,6103040
5,980,wininit.exe,7516160
6,596,services.exe,12341248
7,680,lsass.exe,29818880
8,692,svchost.exe,45535232
9,1044,fontdrvhost.exe,4743168
10,1112,svchost.exe,29188096
11,1168,svchost.exe,9695232
12,1400,svchost.exe,7884800
13,1472,svchost.exe,12013568
14,1592,svchost.exe,10936320
15,1604,svchost.exe,12476416
16,1620,svchost.exe,18178048
17,1648,svchost.exe,11186176
18,1772,svchost.exe,6438912
19,1800,svchost.exe,15945728
20,1864,svchost.exe,9273344
21,1912,svchost.exe,6766592
22,1924,svchost.exe,22265856
23,1956,svchost.exe,8785920
24,1960,svchost.exe,8110080
25,1508,svchost.exe,8351744
26,2152,svchost.exe,9814016
27,2192,svchost.exe,12128256
28,2300,svchost.exe,7430144
29,2368,igfxCUIService.exe,9728000
30,2420,svchost.exe,13766656
31,2544,svchost.exe,19787776
32,2640,svchost.exe,20877312
33,2768,NetworkCap.exe,11546624
34,2780,TouchpointAnalyticsClientService.exe,79949824
35,2776,SysInfoCap.exe,35368960
36,2796,AppHelperCap.exe,21639168
37,2856,WUDFHost.exe,8962048
38,2864,svchost.exe,11325440
39,2880,svchost.exe,10461184
40,972,svchost.exe,21532672
41,3092,svchost.exe,18935808
42,3136,svchost.exe,10498048
43,3272,svchost.exe,6983680
44,3316,WUDFHost.exe,12038144
45,3396,svchost.exe,24715264
46,3432,svchost.exe,12197888
47,3516,svchost.exe,27717632
48,3600,WUDFHost.exe,19865600
49,3676,svchost.exe,6541312
50,3916,unsecapp.exe,10047488
51,4024,WmiPrvSE.exe,26202112
52,748,svchost.exe,21745664
53,3572,svchost.exe,9043968
54,4160,svchost.exe,15536128
55,4256,svchost.exe,11100160
56,4464,SynTPEnhService.exe,11309056
57,4516,NVDisplay.Container.exe,19173376
58,4632,svchost.exe,6045696
59,4704,svchost.exe,8503296
60,4712,Memory Compression,44580864
61,5060,svchost.exe,16334848
62,5136,svchost.exe,7135232
63,5176,svchost.exe,22335488
64,5288,svchost.exe,14630912
65,5524,svchost.exe,8441856
66,5612,svchost.exe,6090752
67,5620,IntelCpHDCPSvc.exe,8699904
68,5628,armsvc.exe,17641472
69,5644,svchost.exe,10162176
70,5652,AGMService.exe,16494592
71,5660,AGSService.exe,17264640
72,5672,svchost.exe,61358080
73,5680,svchost.exe,50020352
74,5692,OfficeClickToRun.exe,54427648
75,5724,FNPLicensingService64.exe,9138176
76,5732,iaStorAfsService.exe,19730432
77,5748,ibtsiva.exe,5500928
78,5784,OneApp.IGCC.WinService.exe,40288256
79,5840,IntelAudioService.exe,27975680
80,5856,svchost.exe,11165696
81,5884,esif_uf.exe,6631424
82,5904,mfemms.exe,14917632
83,5940,ModuleCoreService.exe,48508928
84,6068,NvTelemetryContainer.exe,13742080
85,6112,SECOMN64.exe,11145216
86,6120,RtkAudUService64.exe,14807040
87,6128,svchost.exe,6967296
88,6136,PEFService.exe,6549504
89,5384,WBFResetService111.exe,4063232
90,5476,RstMwService.exe,7335936
91,6148,sqlwriter.exe,8327168
92,6268,svchost.exe,6012928
93,6276,svchost.exe,9158656
94,6284,svchost.exe,5746688
95,6292,svchost.exe,20107264
96,6428,vmware-authd.exe,12615680
97,6444,vmnetdhcp.exe,11984896
98,6452,jhi_service.exe,6680576
99,6552,dasHost.exe,17645568
100,6572,vmware-usbarbitrator64.exe,12152832
101,6592,Microsoft.SqlServer.IntegrationServices.MasterServiceHost.exe,54382592
102,6600,MsDtsSrvr.exe,18423808
