,Process Id,Process Name,Memory used by W3SVC
0,0,System Idle Process,8192
1,4,System,32768
2,124,Registry,54439936
3,656,smss.exe,413696
4,824,csrss.exe,2699264
5,980,wininit.exe,1495040
6,596,services.exe,9490432
7,680,lsass.exe,19476480
8,692,svchost.exe,34840576
9,1044,fontdrvhost.exe,1769472
10,1112,svchost.exe,25350144
11,1168,svchost.exe,5246976
12,1400,svchost.exe,3694592
13,1472,svchost.exe,9228288
14,1592,svchost.exe,3440640
15,1604,svchost.exe,5292032
16,1620,svchost.exe,12214272
17,1648,svchost.exe,5226496
18,1772,svchost.exe,2768896
19,1800,svchost.exe,6991872
20,1864,svchost.exe,4890624
21,1912,svchost.exe,3010560
22,1924,svchost.exe,17702912
23,1956,svchost.exe,5120000
24,1960,svchost.exe,4833280
25,1508,svchost.exe,3407872
26,2152,svchost.exe,5599232
27,2192,svchost.exe,6418432
28,2300,svchost.exe,1908736
29,2368,igfxCUIService.exe,3399680
30,2420,svchost.exe,8155136
31,2544,svchost.exe,8056832
32,2640,svchost.exe,16732160
33,2768,NetworkCap.exe,5066752
34,2780,TouchpointAnalyticsClientService.exe,87592960
35,2776,SysInfoCap.exe,20783104
36,2796,AppHelperCap.exe,13336576
37,2856,WUDFHost.exe,4489216
38,2864,svchost.exe,7446528
39,2880,svchost.exe,6590464
40,972,svchost.exe,13266944
41,3092,svchost.exe,12464128
42,3136,svchost.exe,4907008
43,3272,svchost.exe,1937408
44,3316,WUDFHost.exe,4984832
45,3396,svchost.exe,20385792
46,3432,svchost.exe,4759552
47,3516,svchost.exe,20860928
48,3600,WUDFHost.exe,11137024
49,3676,svchost.exe,1789952
50,3916,unsecapp.exe,3960832
51,4024,WmiPrvSE.exe,20467712
52,748,svchost.exe,5627904
53,3572,svchost.exe,4755456
54,4160,svchost.exe,6234112
55,4256,svchost.exe,5861376
56,4464,SynTPEnhService.exe,4751360
57,4516,NVDisplay.Container.exe,9445376
58,4632,svchost.exe,1814528
59,4704,svchost.exe,4751360
60,4712,Memory Compression,64118784
61,5060,svchost.exe,10248192
62,5136,svchost.exe,3207168
63,5176,svchost.exe,11001856
64,5288,svchost.exe,4501504
65,5524,svchost.exe,3334144
66,5612,svchost.exe,1662976
67,5620,IntelCpHDCPSvc.exe,3276800
68,5628,armsvc.exe,3915776
69,5644,svchost.exe,2953216
70,5652,AGMService.exe,7249920
71,5660,AGSService.exe,9940992
72,5672,svchost.exe,53854208
73,5680,svchost.exe,42045440
74,5692,OfficeClickToRun.exe,34328576
75,5724,FNPLicensingService64.exe,3055616
76,5732,iaStorAfsService.exe,20971520
77,5748,ibtsiva.exe,1589248
78,5784,OneApp.IGCC.WinService.exe,19824640
79,5840,IntelAudioService.exe,17776640
80,5856,svchost.exe,4423680
81,5884,esif_uf.exe,2691072
82,5904,mfemms.exe,8114176
83,5940,ModuleCoreService.exe,43089920
84,6068,NvTelemetryContainer.exe,4313088
85,6112,SECOMN64.exe,3330048
86,6120,RtkAudUService64.exe,7630848
87,6128,svchost.exe,2072576
88,6136,PEFService.exe,6688768
89,5384,WBFResetService111.exe,765952
90,5476,RstMwService.exe,1474560
91,6148,sqlwriter.exe,1658880
92,6268,svchost.exe,1261568
93,6276,svchost.exe,4542464
94,6284,svchost.exe,1814528
95,6292,svchost.exe,12881920
96,6428,vmware-authd.exe,6258688
97,6444,vmnetdhcp.exe,7516160
98,6452,jhi_service.exe,1155072
99,6552,dasHost.exe,8257536
100,6572,vmware-usbarbitrator64.exe,5873664
101,6592,Microsoft.SqlServer.IntegrationServices.MasterServiceHost.exe,30523392
102,6600,MsDtsSrvr.exe,6475776
103,6608,svchost.exe,9506816
104,6616,sqlceip.exe,30150656
105,6624,sqlceip.exe,21606400
106,6636,Microsoft.SqlServer.IntegrationServices.WorkerAgentServiceHost.exe,33075200
107,6648,sqlservr.exe,178089984
108,6796,MsMpEng.exe,444252160
109,6804,vmnat.exe,2101248
110,6820,IntelCpHeciSvc.exe,3108864
111,7364,svchost.exe,4538368
112,8112,MMSSHOST.exe,46534656
113,8172,mfevtps.exe,7671808
114,7288,ProtectedModuleHost.exe,8585216
115,9208,dasHost.exe,708608
116,9016,svchost.exe,2408448
117,9364,svchost.exe,4337664
118,9380,svchost.exe,5541888
119,9460,McCSPServiceHost.exe,18341888
120,10780,NisSrv.exe,6758400
121,11232,dllhost.exe,4304896
122,10268,TouchpointGpuInfo.exe,54992896
